,C-KC443457,C-KC443202,C-KC178781,C-KC443633,C-KC443325,C-KC443765,C-MH170019,C-LC514516,C-LC514505,C-LC514494,C-PX212613,C-KJ721711,C-KU248407,C-KU248396,C-KU199272,C-MW715608,C-MG670699,C-MG670701,C-MG670696,C-LC105582,C-MN479423,C-PP861741,C-OP850468,C-PP861731,B-KC443369,B-KC443224,B-KJ639025,B-KJ639014,B-PX212549,B-OP850475,B-OP850472,B-OP850473,B-OP850470,B-OP850474,B-LC514472,B-LC514483,B-MZ546117,B-KX880419,B-KU550278,B-KU550275,B-KU550277,B-PX212551,B-LC541987,B-LC228328,B-LC228317,B-LC260268,B-MH704723,B-MH704722,B-LC469461,B-LC260266,B-KX880430,B-MH569755,B-LC325465,B-MF997037,B-LC228306,B-LC260272,B-MH569760,B-KU550276,B-KU550274,B-KU870387,B-KU870409,B-MT732500,B-LC386067,B-MT723919,B-MT410497,B-LC066641,B-LC066663,B-LC066652,B-LC169964,B-LC169953,B-LC169942,B-AB975754,B-AB975753,B-AB975725,B-AB975723,B-AB848009,B-LC751490,B-LC751460,B-KY616887,B-MG599526,B-MG599525,B-KU059790,B-MG670685,B-MG670702,B-MG670698,B-KU059779,B-KU059768,B-MG670694,B-LC086727,B-LC086716,A-KU356576,A-MG181889,A-MG181768,A-LC105571,A-KJ752163,A-HQ657140,A-KC443009,A-HQ641357,A-KF716382,A-KF716380,A-KC442965,A-KC442976,A-KC178786,A-KC443347,A-MG181658,A-KR705203,A-KJ721708,A-PX212611,A-OP717289,A-OP717286,A-LC569217,A-LC228372,A-LC228339,A-LC569172,A-LC569200,A-LC477510,A-LC228350,A-KC834705,A-PX212648,A-KJ919519,A-KC443358,A-MN479346,A-MN479342,A-MN479334,A-MN479333,A-MN479287,A-KJ721717,A-KJ721713,A-PX212628,A-LC086804,A-LC086738,A-LC086793,A-LC086782,A-KJ919584,A-PP861743,A-PP861797,A-OP850469,A-KF716374,A-LC169986,A-LC169975
A-KU356576,88.82,88.78,88.50,88.70,88.70,88.70,90.14,90.26,90.34,90.34,90.36,90.42,90.34,90.30,90.38,90.06,89.98,90.02,90.14,90.30,90.18,90.06,90.18,90.14,94.69,94.57,94.09,94.29,93.79,93.57,93.65,93.61,93.61,93.65,93.73,93.81,93.85,94.05,94.01,94.01,93.97,94.01,93.93,94.01,93.97,94.21,94.17,94.13,94.41,94.25,94.25,94.01,94.17,94.01,94.09,94.21,94.37,94.17,94.17,93.97,94.09,94.13,94.13,93.97,94.17,94.37,94.33,94.37,94.25,94.29,94.29,94.34,94.40,94.40,94.45,94.45,94.37,94.37,94.37,94.41,94.45,94.33,94.29,94.29,94.33,94.33,94.37,94.41,94.41,94.41,,94.45,94.37,94.69,94.53,94.37,95.33,96.85,95.61,95.65,95.57,95.73,95.69,94.57,94.33,95.13,94.93,94.51,94.85,94.69,94.41,94.49,94.49,94.53,94.53,94.53,94.53,95.05,95.15,95.25,95.21,94.73,94.69,94.73,94.73,94.73,94.89,94.73,94.55,94.73,94.77,94.93,94.77,94.89,94.21,94.29,94.45,94.73,94.73,94.77
A-MG181889,87.62,87.58,87.07,87.27,87.27,87.27,87.15,87.27,87.27,87.27,87.29,87.27,86.99,86.99,87.15,87.11,86.95,87.07,87.11,87.27,87.07,87.23,87.23,87.23,96.85,96.73,96.09,96.29,95.67,95.49,95.49,95.53,95.53,95.57,95.57,95.73,95.77,95.89,95.93,95.93,95.89,95.85,95.85,95.93,95.89,96.05,96.01,95.97,96.41,96.33,96.33,96.01,96.05,96.01,96.01,96.13,96.21,96.09,96.09,95.97,96.09,96.05,96.05,96.01,96.09,96.37,96.33,96.37,96.25,96.29,96.29,96.34,96.37,96.39,96.45,96.45,96.29,96.29,96.29,96.41,96.45,96.41,96.37,96.45,96.49,96.41,96.45,96.49,96.49,96.49,94.45,,99.92,98.76,98.68,96.45,96.89,96.81,96.81,96.77,96.89,97.05,96.93,96.81,96.85,97.29,97.01,96.67,96.97,96.97,96.77,96.85,96.85,96.89,96.89,96.89,96.89,97.41,97.47,97.52,97.49,97.01,96.97,97.01,97.01,97.01,97.17,97.01,96.63,96.85,96.89,96.97,96.89,97.01,96.33,96.33,96.49,96.85,96.93,96.89
A-MG181768,87.54,87.50,86.99,87.19,87.19,87.19,87.07,87.19,87.19,87.19,87.21,87.19,86.91,86.91,87.07,87.03,86.87,86.99,87.03,87.19,86.99,87.15,87.15,87.15,96.77,96.65,96.01,96.21,95.59,95.41,95.41,95.45,95.45,95.49,95.49,95.65,95.69,95.81,95.85,95.85,95.81,95.77,95.77,95.85,95.81,95.97,95.93,95.89,96.33,96.25,96.25,95.93,95.97,95.97,95.93,96.09,96.13,96.05,96.05,95.93,96.05,95.97,95.97,95.93,96.01,96.29,96.25,96.29,96.17,96.21,96.21,96.26,96.29,96.31,96.37,96.37,96.21,96.21,96.21,96.33,96.37,96.33,96.29,96.37,96.41,96.33,96.37,96.41,96.41,96.41,94.37,99.92,,98.68,98.60,96.37,96.81,96.73,96.73,96.69,96.81,96.97,96.85,96.73,96.77,97.21,96.93,96.59,96.89,96.89,96.69,96.77,96.77,96.81,96.81,96.81,96.81,97.33,97.39,97.45,97.41,96.93,96.89,96.93,96.93,96.93,97.09,96.93,96.55,96.77,96.81,96.89,96.81,96.93,96.25,96.25,96.41,96.77,96.85,96.81
A-LC105571,87.70,87.66,87.47,87.66,87.66,87.66,87.35,87.47,87.47,87.47,87.49,87.47,87.19,87.19,87.35,87.31,87.15,87.27,87.31,87.23,87.27,87.43,87.43,87.43,97.09,96.97,96.41,96.61,95.91,95.73,95.73,95.77,95.77,95.81,95.81,95.97,96.01,96.21,96.17,96.17,96.13,96.09,96.09,96.17,96.13,96.21,96.33,96.21,96.57,96.49,96.49,96.25,96.29,96.25,96.25,96.37,96.45,96.33,96.33,96.13,96.25,96.29,96.29,96.33,96.41,96.61,96.57,96.61,96.49,96.53,96.53,96.58,96.61,96.63,96.69,96.69,96.53,96.53,96.53,96.65,96.69,96.65,96.61,96.69,96.73,96.65,96.69,96.73,96.73,96.73,94.69,98.76,98.68,,99.68,96.77,97.13,97.13,97.13,97.09,97.21,97.29,97.25,97.13,97.25,97.52,97.17,96.91,97.21,97.21,96.93,97.01,97.01,97.05,97.05,97.05,97.05,97.64,97.70,97.76,97.72,97.25,97.21,97.25,97.25,97.25,97.41,97.25,96.79,97.01,97.05,97.13,97.05,97.17,96.57,96.57,96.73,97.01,97.01,96.97
A-KJ752163,87.62,87.58,87.31,87.50,87.50,87.50,87.03,87.15,87.15,87.15,87.17,87.15,86.87,86.87,87.03,86.99,86.83,86.95,86.99,86.99,86.95,87.11,87.11,87.11,97.01,96.89,96.33,96.53,95.83,95.65,95.65,95.69,95.69,95.73,95.73,95.89,95.93,96.13,96.09,96.09,96.05,96.01,96.01,96.09,96.05,96.13,96.25,96.13,96.49,96.41,96.41,96.17,96.21,96.17,96.17,96.29,96.37,96.25,96.25,96.05,96.17,96.21,96.21,96.25,96.33,96.53,96.49,96.53,96.41,96.45,96.45,96.50,96.53,96.55,96.61,96.61,96.45,96.45,96.45,96.57,96.61,96.57,96.53,96.61,96.65,96.57,96.61,96.65,96.65,96.65,94.53,98.68,98.60,99.68,,96.69,97.05,97.05,97.05,97.01,97.13,97.21,97.17,96.97,97.25,97.45,97.09,96.83,97.13,97.13,96.85,96.93,96.93,96.97,96.97,96.97,96.97,97.56,97.62,97.68,97.64,97.17,97.13,97.17,97.17,97.17,97.33,97.17,96.71,96.93,96.97,97.05,96.97,97.09,96.49,96.49,96.65,96.93,96.93,96.89
A-HQ657140,87.23,87.19,86.99,87.19,87.19,87.19,87.23,87.35,87.35,87.35,87.43,87.39,87.15,87.15,87.31,87.23,87.07,87.11,87.23,87.47,87.19,87.27,87.27,87.27,96.89,96.77,96.17,96.33,95.59,95.53,95.53,95.57,95.57,95.61,95.53,95.69,95.73,95.85,95.89,95.89,95.85,95.85,95.97,96.05,96.01,96.01,95.97,96.01,96.37,96.29,96.29,96.05,96.09,96.05,96.13,96.25,96.25,96.13,96.13,95.93,96.05,96.09,96.09,96.05,96.21,96.41,96.37,96.41,96.29,96.33,96.33,96.34,96.33,96.35,96.41,96.41,96.25,96.25,96.25,96.45,96.49,96.29,96.33,96.41,96.45,96.37,96.41,96.45,96.45,96.45,94.37,96.45,96.37,96.77,96.69,,96.69,96.89,96.93,96.89,96.69,96.85,97.13,97.33,96.73,97.01,96.57,96.61,96.89,96.89,96.69,96.69,96.69,96.73,96.73,96.73,96.73,97.21,97.15,97.25,97.21,96.89,96.85,96.89,96.89,96.89,97.05,96.97,96.41,96.61,96.57,96.73,96.65,96.77,96.21,96.25,96.41,96.69,96.77,96.73
A-KC443009,88.18,88.14,87.94,88.14,88.14,88.14,87.58,87.62,87.62,87.62,87.84,88.02,87.58,87.58,87.74,87.47,87.31,87.35,87.47,87.70,87.50,87.58,87.66,87.66,96.85,96.73,96.17,96.37,95.59,95.49,95.49,95.53,95.53,95.57,95.57,95.65,95.69,95.89,95.85,95.85,95.81,95.93,95.85,95.93,95.89,96.13,96.01,95.97,96.41,96.25,96.25,96.01,96.05,95.93,96.01,96.13,96.21,96.09,96.09,95.97,96.09,96.05,96.05,96.01,96.09,96.37,96.33,96.37,96.25,96.29,96.29,96.42,96.37,96.39,96.45,96.45,96.29,96.29,96.29,96.41,96.45,96.33,96.29,96.37,96.41,96.33,96.37,96.41,96.41,96.41,95.33,96.89,96.81,97.13,97.05,96.69,,98.24,98.16,98.20,98.16,98.24,98.20,97.13,97.25,97.60,97.45,96.79,97.13,97.13,96.85,96.93,96.93,96.97,96.97,96.97,96.97,97.64,97.54,97.64,97.60,97.41,97.37,97.41,97.41,97.41,97.49,97.33,96.67,96.93,96.97,97.05,96.97,97.09,96.37,96.41,96.49,96.85,96.89,96.93
A-HQ641357,87.70,87.66,87.31,87.50,87.50,87.50,87.47,87.50,87.50,87.50,87.64,87.58,87.35,87.31,87.47,87.39,87.15,87.19,87.31,87.54,87.35,87.43,87.54,87.50,96.93,96.81,96.17,96.45,95.75,95.57,95.57,95.61,95.61,95.65,95.65,95.81,95.85,95.97,96.01,96.01,95.97,96.01,95.93,96.01,95.97,96.13,96.17,96.05,96.41,96.25,96.25,96.01,96.13,96.01,96.09,96.21,96.29,96.17,96.17,95.97,96.09,96.13,96.13,96.09,96.33,96.45,96.41,96.45,96.33,96.37,96.37,96.46,96.49,96.51,96.53,96.53,96.37,96.37,96.37,96.49,96.53,96.41,96.37,96.45,96.49,96.41,96.45,96.49,96.49,96.49,96.85,96.81,96.73,97.13,97.05,96.89,98.24,,98.20,98.24,98.24,98.32,98.28,96.89,97.01,97.52,97.25,96.79,97.13,97.05,96.77,96.85,96.85,96.89,96.89,96.89,96.89,97.41,97.50,97.60,97.56,97.17,97.13,97.17,97.17,97.17,97.33,97.17,96.51,96.77,96.81,96.97,96.81,96.93,96.25,96.33,96.41,96.77,96.81,96.85
A-KF716382,87.90,87.86,87.58,87.78,87.78,87.78,87.66,87.82,87.82,87.82,87.84,87.86,87.58,87.58,87.74,87.54,87.39,87.43,87.54,87.78,87.58,87.74,87.74,87.74,97.01,96.89,96.17,96.37,95.67,95.57,95.57,95.61,95.61,95.65,95.57,95.73,95.77,95.89,95.93,95.93,95.89,96.01,95.93,96.01,95.97,96.13,96.09,96.05,96.41,96.25,96.25,96.09,96.13,96.01,96.09,96.21,96.29,96.17,96.17,95.97,96.09,96.05,96.05,96.09,96.17,96.45,96.41,96.45,96.33,96.37,96.37,96.38,96.41,96.43,96.45,96.45,96.37,96.37,96.37,96.49,96.53,96.41,96.37,96.45,96.49,96.41,96.45,96.49,96.49,96.49,95.61,96.81,96.73,97.13,97.05,96.93,98.16,98.20,,99.88,98.96,99.04,99.08,97.13,97.25,97.76,97.49,97.07,97.33,97.33,97.05,97.13,97.13,97.17,97.17,97.25,97.17,97.64,97.66,97.76,97.72,97.33,97.29,97.33,97.33,97.33,97.49,97.33,96.75,97.01,96.97,97.13,97.05,97.17,96.53,96.57,96.65,97.01,97.05,97.09
A-KF716380,88.02,87.98,87.70,87.90,87.90,87.90,87.70,87.86,87.86,87.86,87.88,87.90,87.62,87.62,87.78,87.58,87.43,87.47,87.58,87.82,87.62,87.78,87.78,87.78,96.97,96.85,96.13,96.33,95.63,95.53,95.53,95.57,95.57,95.61,95.53,95.69,95.73,95.85,95.89,95.89,95.85,95.97,95.89,95.97,95.93,96.09,96.05,96.01,96.37,96.21,96.21,96.05,96.09,95.97,96.05,96.17,96.25,96.13,96.13,95.93,96.05,96.01,96.01,96.05,96.13,96.41,96.37,96.41,96.29,96.33,96.33,96.34,96.37,96.39,96.41,96.41,96.25,96.25,96.25,96.45,96.49,96.37,96.33,96.41,96.45,96.37,96.41,96.45,96.45,96.45,95.65,96.77,96.69,97.09,97.01,96.89,98.20,98.24,99.88,,99.00,99.08,99.12,97.09,97.21,97.72,97.52,97.03,97.29,97.29,97.01,97.09,97.09,97.13,97.13,97.21,97.13,97.60,97.62,97.72,97.68,97.29,97.25,97.29,97.29,97.29,97.45,97.29,96.71,96.97,96.93,97.09,97.01,97.13,96.49,96.53,96.61,96.97,97.01,97.05
A-KC442965,87.94,87.90,87.62,87.82,87.82,87.82,87.70,87.74,87.74,87.74,87.72,87.90,87.54,87.54,87.70,87.43,87.27,87.39,87.43,87.58,87.47,87.62,87.62,87.62,97.01,96.89,96.17,96.37,95.67,95.49,95.49,95.53,95.53,95.57,95.57,95.73,95.77,95.89,95.93,95.93,95.89,96.01,95.93,96.01,95.97,96.21,96.09,96.05,96.41,96.25,96.25,96.09,96.13,96.09,96.09,96.21,96.29,96.17,96.17,95.97,96.09,96.05,96.05,96.17,96.17,96.45,96.41,96.45,96.33,96.37,96.37,96.38,96.41,96.43,96.45,96.45,96.29,96.29,96.29,96.49,96.53,96.41,96.37,96.45,96.49,96.41,96.45,96.49,96.49,96.49,95.57,96.89,96.81,97.21,97.13,96.69,98.16,98.24,98.96,99.00,,99.16,99.00,97.05,97.17,97.60,97.41,97.07,97.33,97.33,97.05,97.13,97.13,97.17,97.17,97.17,97.17,97.64,97.66,97.76,97.72,97.33,97.29,97.33,97.33,97.33,97.49,97.33,96.75,97.01,96.97,97.13,97.05,97.17,96.53,96.49,96.57,97.09,97.05,97.09
A-KC442976,88.14,88.10,87.82,88.02,88.02,88.02,87.90,88.02,88.02,88.02,87.84,87.94,87.66,87.66,87.82,87.62,87.47,87.50,87.62,87.86,87.66,87.82,87.82,87.82,97.13,97.01,96.29,96.49,95.79,95.61,95.61,95.65,95.65,95.69,95.69,95.85,95.89,96.01,96.05,96.05,96.01,96.13,96.05,96.13,96.09,96.33,96.21,96.17,96.53,96.37,96.37,96.21,96.25,96.13,96.21,96.33,96.41,96.29,96.29,96.09,96.21,96.17,96.17,96.21,96.29,96.57,96.53,96.57,96.45,96.49,96.49,96.50,96.53,96.55,96.57,96.57,96.49,96.49,96.49,96.61,96.65,96.53,96.49,96.57,96.61,96.53,96.57,96.61,96.61,96.61,95.73,97.05,96.97,97.29,97.21,96.85,98.24,98.32,99.04,99.08,99.16,,99.24,97.21,97.33,97.76,97.49,97.23,97.49,97.49,97.21,97.29,97.29,97.33,97.33,97.33,97.33,97.72,97.74,97.84,97.80,97.45,97.41,97.45,97.45,97.45,97.60,97.45,96.83,97.09,97.05,97.21,97.13,97.25,96.53,96.57,96.65,97.09,97.13,97.17
A-KC178786,88.22,88.18,87.90,88.10,88.10,88.10,87.90,88.02,88.02,88.02,88.04,88.02,87.74,87.74,87.90,87.78,87.62,87.66,87.78,87.94,87.74,87.90,87.90,87.90,97.13,97.01,96.29,96.49,95.79,95.61,95.61,95.65,95.65,95.69,95.69,95.85,95.89,96.01,96.05,96.05,96.01,96.13,96.13,96.21,96.17,96.25,96.21,96.17,96.53,96.37,96.37,96.21,96.25,96.13,96.21,96.33,96.41,96.29,96.29,96.09,96.21,96.17,96.17,96.21,96.29,96.57,96.53,96.57,96.45,96.49,96.49,96.50,96.53,96.55,96.57,96.57,96.41,96.41,96.41,96.61,96.65,96.53,96.49,96.57,96.61,96.53,96.57,96.61,96.61,96.61,95.69,96.93,96.85,97.25,97.17,97.13,98.20,98.28,99.08,99.12,99.00,99.24,,97.33,97.29,97.72,97.52,97.19,97.45,97.45,97.17,97.25,97.25,97.29,97.29,97.29,97.29,97.76,97.78,97.88,97.84,97.45,97.41,97.45,97.45,97.45,97.60,97.45,96.87,97.13,97.09,97.25,97.17,97.29,96.65,96.69,96.77,97.21,97.25,97.29
A-KC443347,88.26,88.22,88.02,88.22,88.22,88.22,87.58,87.86,87.86,87.86,87.90,87.94,87.66,87.66,87.82,87.70,87.54,87.58,87.70,87.78,87.74,87.90,87.90,87.90,96.93,96.81,96.25,96.37,95.83,95.73,95.73,95.77,95.77,95.81,95.73,95.89,95.85,95.97,96.01,96.01,96.05,96.01,96.01,96.09,96.05,96.13,96.17,96.13,96.49,96.41,96.41,96.25,96.21,96.09,96.33,96.29,96.37,96.25,96.25,96.05,96.17,96.21,96.21,96.17,96.25,96.53,96.49,96.53,96.41,96.45,96.45,96.42,96.45,96.47,96.53,96.53,96.37,96.37,96.37,96.65,96.69,96.57,96.53,96.61,96.65,96.57,96.61,96.65,96.65,96.65,94.57,96.81,96.73,97.13,96.97,97.33,97.13,96.89,97.13,97.09,97.05,97.21,97.33,,97.17,97.45,97.09,96.85,97.17,97.17,96.97,96.97,96.97,97.01,97.01,97.01,97.01,97.56,97.54,97.60,97.56,97.25,97.21,97.25,97.25,97.25,97.33,97.25,96.81,96.97,97.01,97.09,97.01,97.13,96.41,96.45,96.61,97.05,96.93,96.89
A-MG181658,87.62,87.58,87.31,87.58,87.58,87.58,87.19,87.15,87.15,87.15,87.45,87.43,87.11,87.11,87.27,87.15,86.99,87.03,87.15,87.31,87.11,87.27,87.27,87.27,97.13,97.01,96.13,96.33,95.71,95.69,95.69,95.73,95.73,95.77,95.61,95.77,95.81,95.93,95.97,95.97,95.93,95.97,95.89,95.97,95.93,96.01,96.05,96.09,96.37,96.21,96.21,96.21,96.25,96.05,96.13,96.25,96.25,96.21,96.21,96.01,96.13,96.01,96.01,95.97,96.13,96.41,96.37,96.41,96.29,96.33,96.33,96.34,96.41,96.39,96.41,96.41,96.33,96.33,96.33,96.45,96.49,96.37,96.33,96.41,96.45,96.37,96.41,96.45,96.45,96.45,94.33,96.85,96.77,97.25,97.25,96.73,97.25,97.01,97.25,97.21,97.17,97.33,97.29,97.17,,97.56,97.13,96.91,97.17,97.25,97.05,97.05,97.05,97.09,97.09,97.09,97.09,97.68,97.62,97.72,97.68,97.37,97.33,97.37,97.37,97.37,97.45,97.37,96.79,97.05,97.01,97.17,97.09,97.21,96.65,96.61,96.61,97.05,97.05,97.01
A-KR705203,88.06,88.02,87.66,87.94,87.94,87.94,87.58,87.62,87.62,87.62,87.68,87.70,87.43,87.43,87.58,87.47,87.31,87.27,87.39,87.62,87.43,87.58,87.58,87.58,97.49,97.37,96.57,96.69,96.07,95.89,95.89,95.93,95.93,95.97,95.97,96.13,96.17,96.29,96.33,96.33,96.29,96.41,96.41,96.49,96.45,96.45,96.41,96.53,96.81,96.65,96.65,96.49,96.61,96.41,96.49,96.61,96.69,96.57,96.57,96.37,96.49,96.45,96.45,96.41,96.57,96.85,96.89,96.85,96.73,96.77,96.77,96.74,96.78,96.80,96.85,96.85,96.69,96.69,96.69,96.89,96.93,96.81,96.77,96.85,96.89,96.81,96.85,96.89,96.89,96.89,95.13,97.29,97.21,97.52,97.45,97.01,97.60,97.52,97.76,97.72,97.60,97.76,97.72,97.45,97.56,,98.92,97.31,97.60,97.68,97.33,97.41,97.41,97.45,97.45,97.52,97.45,97.96,98.02,98.08,98.12,97.72,97.68,97.72,97.72,97.72,97.88,97.72,97.43,97.64,97.60,97.76,97.68,97.80,96.93,96.97,97.05,97.49,97.49,97.45
A-KJ721708,87.86,87.82,87.47,87.74,87.74,87.74,87.47,87.50,87.50,87.50,87.52,87.54,87.35,87.35,87.50,87.39,87.23,87.27,87.31,87.54,87.35,87.50,87.50,87.50,97.21,97.09,96.37,96.49,95.79,95.61,95.69,95.65,95.65,95.69,95.69,95.85,95.89,96.01,96.05,96.05,96.01,96.13,96.13,96.21,96.17,96.17,96.13,96.25,96.53,96.37,96.37,96.21,96.33,96.13,96.21,96.33,96.49,96.29,96.29,96.09,96.21,96.17,96.17,96.21,96.29,96.57,96.61,96.57,96.45,96.49,96.49,96.50,96.49,96.51,96.57,96.57,96.41,96.41,96.41,96.61,96.65,96.53,96.49,96.57,96.61,96.53,96.57,96.61,96.61,96.61,94.93,97.01,96.93,97.17,97.09,96.57,97.45,97.25,97.49,97.52,97.41,97.49,97.52,97.09,97.13,98.92,,97.03,97.25,97.33,97.05,97.13,97.13,97.17,97.17,97.25,97.17,97.68,97.74,97.80,97.84,97.45,97.41,97.45,97.45,97.45,97.60,97.45,97.07,97.29,97.25,97.41,97.33,97.45,96.57,96.61,96.69,97.13,97.21,97.17
A-PX212611,87.39,87.35,87.07,87.27,87.27,87.27,87.66,87.62,87.62,87.62,87.41,87.54,87.35,87.35,87.50,87.39,87.23,87.27,87.39,87.54,87.35,87.50,87.50,87.50,98.00,97.88,97.25,97.37,96.72,96.49,96.49,96.53,96.53,96.57,96.65,96.73,96.77,96.89,96.93,96.93,96.89,96.98,96.93,97.01,96.97,97.13,97.01,97.05,97.41,97.33,97.33,97.09,97.13,97.01,97.09,97.21,97.29,97.17,97.17,96.97,97.09,97.13,97.13,97.01,97.17,97.45,97.41,97.45,97.33,97.37,97.37,97.40,97.42,97.45,97.45,97.45,97.29,97.29,97.29,97.49,97.52,97.41,97.45,97.45,97.49,97.49,97.52,97.56,97.56,97.56,94.51,96.67,96.59,96.91,96.83,96.61,96.79,96.79,97.07,97.03,97.07,97.23,97.19,96.85,96.91,97.31,97.03,,99.14,99.14,99.18,99.26,99.26,99.30,99.30,99.30,99.30,98.34,98.44,98.46,98.42,98.18,98.14,98.18,98.18,98.18,98.34,98.18,98.18,98.34,98.34,98.46,98.38,98.50,97.70,97.74,97.82,98.26,98.34,98.30
A-OP717289,87.90,87.86,87.66,87.78,87.78,87.78,87.74,87.70,87.70,87.70,87.56,87.62,87.43,87.43,87.58,87.47,87.31,87.35,87.47,87.62,87.43,87.58,87.58,87.58,98.24,98.12,97.49,97.60,97.05,96.89,96.89,96.93,96.93,96.97,97.05,97.13,97.17,97.29,97.33,97.33,97.29,97.31,97.25,97.33,97.29,97.37,97.33,97.45,97.72,97.64,97.64,97.49,97.45,97.41,97.49,97.60,97.68,97.56,97.56,97.37,97.49,97.45,97.45,97.33,97.56,97.76,97.72,97.76,97.64,97.68,97.68,97.68,97.70,97.73,97.76,97.76,97.60,97.60,97.60,97.80,97.84,97.72,97.84,97.76,97.80,97.80,97.84,97.88,97.88,97.88,94.85,96.97,96.89,97.21,97.13,96.89,97.13,97.13,97.33,97.29,97.33,97.49,97.45,97.17,97.17,97.60,97.25,99.14,,99.84,99.24,99.32,99.40,99.36,99.36,99.36,99.36,98.68,98.70,98.80,98.76,98.52,98.48,98.52,98.52,98.52,98.68,98.52,98.50,98.72,98.68,98.84,98.76,98.88,98.16,98.20,98.28,98.64,98.64,98.60
A-OP717286,87.82,87.78,87.58,87.70,87.70,87.70,87.66,87.62,87.62,87.62,87.49,87.54,87.35,87.35,87.50,87.39,87.23,87.27,87.39,87.54,87.35,87.50,87.50,87.50,98.24,98.12,97.41,97.52,96.97,96.81,96.81,96.85,96.85,96.89,96.97,97.05,97.09,97.21,97.25,97.25,97.21,97.23,97.17,97.25,97.21,97.29,97.25,97.37,97.64,97.56,97.56,97.41,97.37,97.33,97.41,97.52,97.60,97.49,97.49,97.29,97.41,97.37,97.37,97.25,97.41,97.68,97.64,97.68,97.56,97.60,97.60,97.60,97.62,97.65,97.68,97.68,97.52,97.52,97.52,97.72,97.76,97.64,97.76,97.68,97.72,97.72,97.76,97.80,97.80,97.80,94.69,96.97,96.89,97.21,97.13,96.89,97.13,97.05,97.33,97.29,97.33,97.49,97.45,97.17,97.25,97.68,97.33,99.14,99.84,,99.24,99.32,99.40,99.36,99.36,99.36,99.36,98.68,98.70,98.80,98.76,98.52,98.48,98.52,98.52,98.52,98.68,98.52,98.50,98.72,98.68,98.84,98.76,98.88,98.24,98.20,98.28,98.64,98.64,98.60
A-LC569217,87.54,87.50,87.23,87.43,87.43,87.43,87.50,87.47,87.47,87.47,87.33,87.39,87.19,87.19,87.35,87.23,87.07,87.11,87.23,87.39,87.19,87.35,87.35,87.35,98.04,97.92,97.21,97.33,96.69,96.53,96.53,96.57,96.57,96.61,96.69,96.77,96.81,96.93,96.97,96.97,96.93,96.95,96.97,97.05,97.01,97.09,97.05,97.09,97.45,97.37,97.37,97.13,97.17,97.05,97.13,97.25,97.33,97.21,97.21,97.01,97.13,97.21,97.21,97.09,97.25,97.49,97.45,97.49,97.41,97.45,97.45,97.40,97.42,97.45,97.49,97.49,97.33,97.33,97.33,97.52,97.56,97.45,97.49,97.49,97.52,97.52,97.56,97.60,97.60,97.60,94.41,96.77,96.69,96.93,96.85,96.69,96.85,96.77,97.05,97.01,97.05,97.21,97.17,96.97,97.05,97.33,97.05,99.18,99.24,99.24,,99.76,99.76,99.80,99.80,99.80,99.80,98.44,98.46,98.56,98.52,98.24,98.20,98.24,98.24,98.24,98.40,98.32,98.22,98.44,98.40,98.56,98.48,98.60,97.80,97.84,97.92,98.36,98.36,98.32
A-LC228372,87.62,87.58,87.31,87.50,87.50,87.50,87.58,87.54,87.54,87.54,87.41,87.47,87.27,87.27,87.43,87.31,87.15,87.19,87.31,87.47,87.27,87.43,87.43,87.43,98.12,98.00,97.29,97.41,96.77,96.61,96.61,96.65,96.65,96.69,96.77,96.85,96.89,97.01,97.05,97.05,97.01,97.03,97.13,97.21,97.17,97.17,97.13,97.17,97.52,97.45,97.45,97.21,97.25,97.13,97.21,97.33,97.41,97.29,97.29,97.09,97.21,97.25,97.25,97.13,97.29,97.56,97.52,97.56,97.45,97.49,97.49,97.48,97.50,97.53,97.56,97.56,97.41,97.41,97.41,97.60,97.64,97.52,97.56,97.56,97.60,97.60,97.64,97.68,97.68,97.68,94.49,96.85,96.77,97.01,96.93,96.69,96.93,96.85,97.13,97.09,97.13,97.29,97.25,96.97,97.05,97.41,97.13,99.26,99.32,99.32,99.76,,99.84,99.88,99.88,99.88,99.88,98.48,98.50,98.60,98.56,98.32,98.28,98.32,98.32,98.32,98.48,98.32,98.30,98.52,98.48,98.64,98.56,98.68,97.88,97.92,98.00,98.44,98.44,98.40
A-LC228339,87.54,87.50,87.31,87.43,87.43,87.43,87.54,87.50,87.50,87.50,87.37,87.43,87.23,87.23,87.39,87.27,87.11,87.15,87.27,87.43,87.23,87.39,87.39,87.39,98.12,98.00,97.29,97.41,96.77,96.61,96.61,96.65,96.65,96.69,96.77,96.85,96.89,97.01,97.05,97.05,97.01,97.03,97.05,97.13,97.09,97.17,97.13,97.17,97.52,97.45,97.45,97.21,97.25,97.13,97.21,97.33,97.41,97.29,97.29,97.09,97.21,97.25,97.25,97.13,97.29,97.56,97.52,97.56,97.45,97.49,97.49,97.48,97.50,97.53,97.56,97.56,97.41,97.41,97.41,97.60,97.64,97.52,97.64,97.56,97.60,97.60,97.64,97.68,97.68,97.68,94.49,96.85,96.77,97.01,96.93,96.69,96.93,96.85,97.13,97.09,97.13,97.29,97.25,96.97,97.05,97.41,97.13,99.26,99.40,99.40,99.76,99.84,,99.88,99.88,99.88,99.88,98.48,98.50,98.60,98.56,98.32,98.28,98.32,98.32,98.32,98.48,98.32,98.30,98.52,98.48,98.64,98.56,98.68,97.96,98.00,98.08,98.44,98.44,98.40
