,A-MT633431,B-JX195088,B-EF990707,B-JF490651,B-KJ753438,B-KT988208,B-JF490916,B-LC228384,B-KF371984,B-OP850489,B-PP861406,B-OP850491,B-JN706531,B-JQ837878,B-MT732501,B-LC386068,B-MZ066016,B-KJ752983,B-JN258371,B-MT410498,B-JN706530,B-MT723920,B-LC066642,B-LC086761,B-KX362878,B-LC086750,B-LC169965,B-LC169954,B-LC169943,B-LC086739,B-LC066664,B-LC066653,B-PX211305,B-MH704725,B-LC325461,B-LC260222,B-KX880426,B-MG652356,B-MG652352,B-MG652355,B-LC541983,B-LC228329,B-LC228318,B-KU059791,B-KU059769,B-KU059780,B-MG652348,B-MG652339,B-LC086728,B-LC086717,B-PX211226,B-OP850488,B-OP850487,B-OP850486,B-OP850485,B-OP850483,B-LC514495,B-LC514473,B-PX211228,B-MH704724,B-LC228307,B-MF997038,B-MW715609,B-KU550282,B-KU550280,B-KU870388,B-KU870410,B-KX880415,B-MZ546113,B-LC514484,B-KU550284,B-KU550283,B-KU550281,B-MH569766,B-MH569765,B-LC260228,B-MG599530,B-MG599529,B-LC430887,B-AB975550,B-AB975549,B-AB975466,B-AB975472,B-KY616888,B-AB848005,B-LC751042,B-LC751012,B-MG181659,A-EF672598,B-MZ027446,B-MZ027424,A-MG652331,A-KJ919614,A-MG652329,A-JX185761,A-KJ919638,A-LC172601,A-LC172588,A-HM773681,A-HM773670,A-MT633446,A-MT633444,A-JX027953,A-JX027940,A-KP007147,A-KF371691,A-JQ069692,A-JQ069688,A-JX027865,A-PX211314,A-LC430884,A-LC430883,A-OR205278,A-OR205276,A-KJ919698,A-MH171357,A-PX211248,A-OP850492,A-ON791868,A-OR205289,A-MG652342,A-MN478658
A-JX027953,98.52,97.35,97.70,97.92,97.52,97.57,97.79,97.18,97.35,96.61,96.53,96.61,97.05,97.13,96.79,96.66,96.83,96.96,97.31,96.83,96.96,96.79,96.92,97.00,97.09,97.09,96.96,96.92,96.92,97.00,97.09,97.05,95.87,96.48,96.70,96.74,96.74,96.74,96.83,96.79,96.70,96.70,96.66,96.87,96.87,96.83,96.83,96.87,96.87,96.87,96.09,96.22,96.27,96.31,96.31,96.31,96.35,96.35,96.00,96.61,96.61,96.53,96.61,96.57,96.61,96.53,96.53,96.59,96.56,96.53,96.57,96.57,96.57,96.61,96.53,96.57,96.81,96.87,96.83,96.79,96.87,96.87,96.83,96.87,96.87,96.83,96.79,94.57,95.01,96.61,96.57,96.44,96.61,96.31,96.66,96.61,98.18,98.18,98.78,98.78,98.44,98.78,,99.96,99.31,99.48,99.17,99.26,97.37,95.82,96.70,96.61,96.83,96.79,97.26,96.87,96.17,96.61,96.87,97.13,96.70,96.96
A-JX027940,98.57,97.39,97.74,97.87,97.57,97.61,97.83,97.13,97.39,96.66,96.57,96.66,97.09,97.18,96.74,96.61,96.79,97.00,97.35,96.79,97.00,96.74,96.87,96.96,97.05,97.05,96.92,96.87,96.87,96.96,97.05,97.00,95.87,96.53,96.74,96.79,96.79,96.79,96.87,96.83,96.74,96.74,96.70,96.92,96.92,96.87,96.87,96.92,96.92,96.92,96.09,96.27,96.31,96.35,96.35,96.35,96.40,96.40,96.00,96.66,96.66,96.57,96.66,96.61,96.66,96.57,96.57,96.63,96.56,96.57,96.61,96.61,96.61,96.66,96.57,96.61,96.85,96.92,96.87,96.83,96.92,96.92,96.87,96.92,96.92,96.87,96.83,94.62,95.05,96.66,96.61,96.48,96.66,96.35,96.70,96.66,98.22,98.22,98.83,98.83,98.48,98.83,99.96,,99.35,99.52,99.22,99.31,97.42,95.82,96.74,96.66,96.87,96.83,97.31,96.92,96.17,96.66,96.92,97.18,96.74,97.00
A-KP007147,98.52,97.18,97.52,97.66,97.31,97.39,97.61,96.96,97.22,96.40,96.40,96.48,97.00,97.00,96.57,96.44,96.70,96.83,97.18,96.61,96.92,96.66,96.79,96.87,96.96,96.96,96.83,96.79,96.79,96.87,96.96,96.92,95.61,96.44,96.53,96.61,96.61,96.61,96.70,96.66,96.66,96.66,96.61,96.74,96.74,96.70,96.70,96.74,96.74,96.74,95.93,96.09,96.14,96.18,96.18,96.18,96.31,96.31,95.74,96.53,96.53,96.40,96.40,96.44,96.48,96.40,96.40,96.46,96.39,96.40,96.44,96.44,96.44,96.48,96.48,96.53,96.68,96.74,96.70,96.66,96.74,96.74,96.70,96.74,96.74,96.70,96.66,94.36,94.88,96.53,96.48,96.27,96.44,96.14,96.48,96.44,98.09,98.09,98.70,98.70,98.78,99.22,99.31,99.35,,99.57,99.26,99.35,97.20,95.72,96.70,96.61,96.83,96.87,97.18,96.87,96.07,96.61,96.87,97.05,96.70,96.96
A-KF371691,98.70,97.44,97.79,97.92,97.57,97.66,97.87,97.18,97.44,96.61,96.61,96.70,97.22,97.22,96.79,96.66,96.92,97.05,97.39,96.83,97.13,96.87,97.00,97.09,97.18,97.18,97.05,97.00,97.00,97.09,97.18,97.13,95.87,96.57,96.74,96.83,96.83,96.83,96.92,96.87,96.79,96.79,96.74,96.96,96.96,96.92,96.92,96.96,96.96,96.96,96.09,96.22,96.27,96.31,96.31,96.31,96.44,96.44,96.00,96.70,96.70,96.61,96.61,96.66,96.70,96.61,96.61,96.68,96.60,96.61,96.66,96.66,96.66,96.70,96.61,96.66,96.90,96.96,96.92,96.87,96.96,96.96,96.92,96.96,96.96,96.92,96.87,94.49,95.01,96.79,96.74,96.53,96.70,96.40,96.74,96.70,98.35,98.35,98.96,98.96,98.70,99.13,99.48,99.52,99.57,,99.52,99.61,97.46,95.92,96.87,96.79,97.00,96.96,97.44,97.00,96.28,96.79,97.05,97.31,96.87,97.13
A-JQ069692,98.39,97.13,97.48,97.61,97.44,97.44,97.66,96.96,97.22,96.40,96.40,96.48,97.00,97.00,96.57,96.44,96.70,96.83,97.18,96.61,96.92,96.66,96.79,96.87,96.96,96.96,96.83,96.79,96.79,96.87,96.96,96.92,95.72,96.35,96.53,96.61,96.61,96.61,96.70,96.66,96.57,96.57,96.53,96.74,96.74,96.70,96.70,96.74,96.74,96.74,95.93,96.01,96.05,96.09,96.09,96.09,96.22,96.22,95.85,96.48,96.48,96.40,96.40,96.44,96.48,96.40,96.40,96.46,96.39,96.40,96.44,96.44,96.44,96.48,96.40,96.44,96.68,96.74,96.70,96.66,96.74,96.74,96.70,96.74,96.74,96.70,96.66,94.18,94.70,96.48,96.44,96.35,96.53,96.18,96.53,96.48,98.13,98.13,98.65,98.65,98.48,98.83,99.17,99.22,99.26,99.52,,99.91,97.16,95.66,96.66,96.57,96.79,96.74,97.22,96.79,96.02,96.57,96.83,97.09,96.66,96.92
A-JQ069688,98.48,97.22,97.57,97.70,97.52,97.52,97.74,97.05,97.31,96.48,96.48,96.57,97.09,97.09,96.66,96.53,96.79,96.92,97.26,96.70,97.00,96.74,96.87,96.96,97.05,97.05,96.92,96.87,96.87,96.96,97.05,97.00,95.77,96.44,96.61,96.70,96.70,96.70,96.79,96.74,96.66,96.66,96.61,96.83,96.83,96.79,96.79,96.83,96.83,96.83,95.98,96.09,96.14,96.18,96.18,96.18,96.31,96.31,95.90,96.57,96.57,96.48,96.48,96.53,96.57,96.48,96.48,96.55,96.47,96.48,96.53,96.53,96.53,96.57,96.48,96.53,96.77,96.83,96.79,96.74,96.83,96.83,96.79,96.83,96.83,96.79,96.74,94.27,94.79,96.57,96.53,96.44,96.61,96.27,96.61,96.57,98.22,98.22,98.74,98.74,98.57,98.91,99.26,99.31,99.35,99.61,99.91,,97.24,95.72,96.74,96.66,96.87,96.83,97.31,96.87,96.07,96.66,96.92,97.18,96.74,97.00
A-JX027865,98.20,96.98,97.42,97.37,97.29,97.29,97.42,96.77,96.94,96.24,96.33,96.33,96.90,96.90,96.59,96.55,96.50,96.72,97.16,96.59,96.81,96.55,96.68,96.77,96.77,96.85,96.72,96.77,96.77,96.77,96.85,96.81,95.69,96.50,96.50,96.68,96.68,96.50,96.59,96.55,96.63,96.63,96.59,96.72,96.72,96.68,96.68,96.72,96.72,96.72,95.77,96.07,96.11,96.16,96.16,96.16,96.20,96.20,95.69,96.46,96.46,96.37,96.46,96.42,96.46,96.33,96.37,96.35,96.36,96.37,96.42,96.42,96.42,96.46,96.46,96.42,96.61,96.66,96.68,96.63,96.72,96.72,96.68,96.72,96.72,96.68,96.63,94.42,94.90,96.46,96.33,96.46,96.63,96.33,96.68,96.55,96.85,96.85,97.50,97.50,97.20,97.20,97.37,97.42,97.20,97.46,97.16,97.24,,96.32,97.20,97.11,97.37,97.24,97.55,97.29,96.77,97.03,97.29,97.63,97.29,97.55
A-PX211314,96.87,95.45,95.87,96.08,95.51,95.51,95.66,95.30,95.30,94.72,94.83,94.88,95.45,95.40,95.04,94.88,95.09,95.25,95.56,95.04,95.35,95.14,95.25,95.35,95.35,95.40,95.19,95.25,95.25,95.30,95.40,95.35,95.72,94.83,94.83,95.09,95.09,94.98,95.09,95.04,95.04,95.04,94.98,95.14,95.14,95.09,95.09,95.14,95.14,95.14,95.33,94.72,94.72,94.72,94.72,94.72,94.83,94.88,95.59,94.93,94.98,94.93,94.67,94.83,94.88,94.78,94.78,94.91,94.93,94.98,94.98,94.98,94.98,95.04,95.04,94.93,95.27,95.30,95.14,95.14,95.19,95.25,95.14,95.19,95.19,95.14,95.14,92.37,93.52,95.04,94.88,95.09,95.25,94.93,95.25,95.14,95.51,95.51,96.19,96.19,96.24,95.98,95.82,95.82,95.72,95.92,95.66,95.72,96.32,,98.38,98.28,97.81,97.81,97.60,97.81,98.97,98.12,98.28,98.28,98.22,98.59
A-LC430884,97.66,96.61,96.87,97.00,96.57,96.57,96.79,96.27,96.53,95.79,95.87,95.96,96.66,96.57,96.22,96.09,96.27,96.40,96.74,96.27,96.57,96.31,96.44,96.53,96.53,96.53,96.40,96.44,96.44,96.53,96.61,96.57,95.40,96.05,96.14,96.31,96.31,96.22,96.31,96.27,96.27,96.27,96.22,96.35,96.35,96.31,96.31,96.35,96.35,96.35,95.41,95.79,95.83,95.87,95.87,95.87,96.01,96.01,95.32,96.18,96.18,96.18,96.01,96.14,96.18,96.09,96.09,96.16,96.17,96.18,96.22,96.22,96.22,96.27,96.35,96.14,96.29,96.35,96.31,96.27,96.35,96.35,96.31,96.35,96.35,96.31,96.27,94.01,94.44,96.14,96.01,96.09,96.27,95.96,96.31,96.18,96.53,96.53,97.09,97.09,97.26,96.96,96.70,96.74,96.70,96.87,96.66,96.74,97.20,98.38,,99.83,98.78,98.74,98.74,98.74,98.79,99.00,99.22,99.13,99.13,99.48
A-LC430883,97.57,96.53,96.79,96.92,96.48,96.48,96.70,96.18,96.44,95.70,95.79,95.87,96.57,96.48,96.14,96.01,96.18,96.31,96.66,96.18,96.48,96.22,96.35,96.44,96.44,96.44,96.31,96.35,96.35,96.44,96.53,96.48,95.30,95.96,96.05,96.22,96.22,96.14,96.22,96.18,96.18,96.18,96.14,96.27,96.27,96.22,96.22,96.27,96.27,96.27,95.30,95.70,95.74,95.79,95.79,95.79,95.92,95.92,95.22,96.09,96.09,96.09,95.92,96.05,96.09,96.01,96.01,96.07,96.08,96.09,96.14,96.14,96.14,96.18,96.27,96.05,96.20,96.27,96.22,96.18,96.27,96.27,96.22,96.27,96.27,96.22,96.18,94.01,94.44,96.05,95.92,96.01,96.18,95.87,96.22,96.09,96.44,96.44,97.00,97.00,97.18,96.87,96.61,96.66,96.61,96.79,96.57,96.66,97.11,98.28,99.83,,98.70,98.65,98.65,98.65,98.68,98.91,99.13,99.04,99.04,99.39
A-OR205278,97.87,96.74,97.09,97.22,96.79,96.79,96.92,96.48,96.66,95.92,96.01,96.09,96.61,96.61,96.18,96.05,96.22,96.44,96.79,96.22,96.53,96.27,96.40,96.48,96.48,96.57,96.44,96.48,96.48,96.48,96.57,96.53,95.45,96.27,96.27,96.44,96.44,96.35,96.44,96.40,96.48,96.48,96.44,96.48,96.48,96.44,96.44,96.48,96.48,96.48,95.56,95.83,95.87,95.92,95.92,95.92,96.05,96.05,95.48,96.22,96.22,96.22,96.05,96.18,96.22,96.14,96.14,96.20,96.21,96.22,96.27,96.27,96.27,96.31,96.31,96.40,96.50,96.57,96.44,96.40,96.48,96.48,96.44,96.48,96.48,96.44,96.40,93.96,94.57,96.09,95.96,96.22,96.40,96.01,96.35,96.22,96.48,96.48,97.13,97.13,97.22,97.05,96.83,96.87,96.83,97.00,96.79,96.87,97.37,97.81,98.78,98.70,,99.44,98.78,98.91,98.47,98.74,98.96,99.35,98.96,99.22
A-OR205276,97.92,96.70,97.05,97.18,96.74,96.74,96.87,96.44,96.61,95.87,95.96,96.05,96.57,96.57,96.14,96.01,96.18,96.40,96.74,96.18,96.48,96.22,96.35,96.44,96.44,96.61,96.48,96.53,96.53,96.44,96.53,96.48,95.45,96.31,96.22,96.40,96.40,96.31,96.40,96.35,96.44,96.44,96.40,96.44,96.44,96.40,96.40,96.44,96.44,96.44,95.67,95.87,95.92,95.96,95.96,95.96,96.09,96.09,95.48,96.18,96.18,96.18,96.01,96.14,96.18,96.09,96.09,96.24,96.25,96.27,96.31,96.31,96.31,96.27,96.27,96.27,96.46,96.53,96.40,96.35,96.44,96.44,96.40,96.44,96.44,96.40,96.35,93.88,94.62,96.05,95.92,96.18,96.35,96.05,96.31,96.18,96.61,96.61,97.26,97.26,97.26,97.09,96.79,96.83,96.87,96.96,96.74,96.83,97.24,97.81,98.74,98.65,99.44,,98.74,98.87,98.42,98.70,98.91,99.31,98.91,99.17
A-KJ919698,98.22,97.22,97.44,97.48,97.22,97.13,97.35,96.83,97.09,96.27,96.35,96.44,96.96,96.96,96.53,96.40,96.57,96.79,97.13,96.57,96.87,96.61,96.74,96.83,96.83,96.92,96.79,96.83,96.83,96.83,96.92,96.87,96.03,96.44,96.53,96.70,96.70,96.61,96.70,96.66,96.66,96.66,96.61,96.74,96.74,96.70,96.70,96.74,96.74,96.74,95.93,96.09,96.14,96.18,96.18,96.18,96.31,96.31,95.85,96.57,96.57,96.48,96.40,96.53,96.57,96.48,96.48,96.46,96.47,96.48,96.53,96.53,96.53,96.57,96.57,96.44,96.77,96.83,96.61,96.66,96.74,96.74,96.70,96.74,96.74,96.70,96.66,94.40,94.83,96.74,96.61,96.48,96.66,96.35,96.70,96.57,96.92,96.92,97.66,97.66,97.57,97.44,97.26,97.31,97.18,97.44,97.22,97.31,97.55,97.60,98.74,98.65,98.78,98.74,,98.78,98.21,98.52,98.74,99.09,98.74,99.00
A-MH171357,97.92,96.61,97.05,97.09,96.66,96.66,96.79,96.48,96.61,95.83,95.92,96.01,96.61,96.61,96.18,96.05,96.22,96.44,96.79,96.22,96.53,96.27,96.40,96.48,96.48,96.57,96.44,96.48,96.48,96.48,96.57,96.53,95.56,96.09,96.18,96.35,96.35,96.27,96.35,96.31,96.31,96.31,96.27,96.40,96.40,96.35,96.35,96.40,96.40,96.40,95.56,95.74,95.79,95.83,95.83,95.83,95.96,95.96,95.48,96.14,96.14,96.14,95.96,96.09,96.14,96.05,96.05,96.11,96.12,96.14,96.18,96.18,96.18,96.22,96.22,96.09,96.42,96.48,96.35,96.31,96.40,96.40,96.35,96.40,96.40,96.35,96.31,93.88,94.44,95.96,95.83,96.18,96.35,96.05,96.40,96.27,96.48,96.48,97.13,97.13,97.48,97.26,96.87,96.92,96.87,97.00,96.79,96.87,97.29,97.81,98.74,98.65,98.91,98.87,98.78,,98.42,98.65,98.87,99.31,98.87,99.13
A-PX211248,97.22,95.75,96.17,96.43,95.81,95.81,95.96,95.65,95.65,95.02,95.13,95.18,95.81,95.75,95.39,95.23,95.44,95.60,95.91,95.39,95.70,95.49,95.60,95.70,95.70,95.75,95.55,95.60,95.60,95.65,95.75,95.70,96.04,95.18,95.18,95.47,95.47,95.34,95.44,95.39,95.39,95.39,95.34,95.49,95.49,95.44,95.44,95.49,95.49,95.49,95.63,95.08,95.08,95.08,95.08,95.08,95.18,95.23,95.89,95.28,95.34,95.28,95.02,95.18,95.23,95.13,95.13,95.26,95.28,95.34,95.34,95.34,95.34,95.39,95.49,95.28,95.62,95.65,95.49,95.44,95.49,95.55,95.44,95.49,95.49,95.44,95.39,92.57,93.77,95.39,95.23,95.44,95.60,95.23,95.60,95.44,95.86,95.86,96.54,96.54,96.70,96.33,96.17,96.17,96.07,96.28,96.02,96.07,96.77,98.97,98.79,98.68,98.47,98.42,98.21,98.42,,98.63,98.79,98.89,98.84,99.20
A-OP850492,97.57,96.44,96.70,96.83,96.40,96.40,96.53,96.09,96.27,95.61,95.70,95.79,96.40,96.31,95.96,95.83,96.01,96.22,96.48,96.01,96.31,96.05,96.18,96.27,96.27,96.35,96.22,96.27,96.27,96.27,96.35,96.31,95.19,95.79,95.96,96.05,96.05,95.96,96.05,96.01,96.01,96.01,95.96,96.09,96.09,96.05,96.05,96.09,96.09,96.09,95.30,95.61,95.66,95.70,95.70,95.70,95.83,95.83,95.22,96.01,96.01,96.01,95.83,95.96,96.01,95.92,95.92,95.98,95.99,96.01,96.05,96.05,96.05,96.09,96.18,95.96,96.11,96.18,96.05,96.01,96.09,96.09,96.05,96.09,96.09,96.05,96.01,93.79,94.44,95.96,95.83,95.92,96.09,95.79,96.14,96.09,96.18,96.18,96.83,96.83,97.18,96.87,96.61,96.66,96.61,96.79,96.57,96.66,97.03,98.12,99.00,98.91,98.74,98.70,98.52,98.65,98.63,,99.09,99.09,99.00,99.35
A-ON791868,97.83,96.61,96.96,97.09,96.83,96.74,96.87,96.35,96.53,95.79,95.87,95.96,96.57,96.57,96.14,96.01,96.18,96.40,96.74,96.18,96.48,96.22,96.35,96.44,96.44,96.53,96.40,96.44,96.44,96.44,96.53,96.48,95.56,96.14,96.22,96.40,96.40,96.31,96.40,96.35,96.35,96.35,96.31,96.44,96.44,96.40,96.40,96.44,96.44,96.44,95.56,95.87,95.92,95.96,95.96,95.96,96.18,96.09,95.48,96.27,96.27,96.27,96.18,96.22,96.27,96.18,96.18,96.24,96.34,96.27,96.31,96.31,96.31,96.35,96.44,96.31,96.46,96.53,96.48,96.35,96.44,96.44,96.40,96.44,96.44,96.40,96.35,94.05,94.36,96.05,95.92,96.09,96.27,95.96,96.31,96.18,96.44,96.44,97.09,97.09,97.44,97.18,96.87,96.92,96.87,97.05,96.83,96.92,97.29,98.28,99.22,99.13,98.96,98.91,98.74,98.87,98.79,99.09,,99.31,99.31,99.57
A-OR205289,98.18,96.96,97.31,97.44,97.00,97.00,97.13,96.70,96.87,96.14,96.22,96.31,96.92,96.92,96.48,96.35,96.53,96.74,97.09,96.53,96.83,96.57,96.70,96.79,96.79,96.87,96.74,96.79,96.79,96.79,96.87,96.83,95.87,96.40,96.48,96.66,96.66,96.57,96.66,96.61,96.61,96.61,96.57,96.70,96.70,96.66,96.66,96.70,96.70,96.70,95.88,96.05,96.09,96.14,96.14,96.14,96.27,96.27,95.79,96.44,96.44,96.44,96.27,96.40,96.44,96.35,96.35,96.42,96.43,96.44,96.48,96.48,96.48,96.53,96.53,96.40,96.72,96.79,96.66,96.61,96.70,96.70,96.66,96.70,96.70,96.66,96.61,94.27,94.70,96.31,96.18,96.53,96.61,96.31,96.66,96.53,96.87,96.87,97.44,97.44,97.70,97.44,97.13,97.18,97.05,97.31,97.09,97.18,97.63,98.28,99.13,99.04,99.35,99.31,99.09,99.31,98.89,99.09,99.31,,99.31,99.57
A-MG652342,97.74,96.61,96.87,97.00,96.57,96.57,96.70,96.27,96.44,95.70,95.79,95.87,96.48,96.48,96.05,95.92,96.09,96.31,96.66,96.18,96.40,96.14,96.27,96.35,96.35,96.44,96.31,96.35,96.35,96.35,96.44,96.40,95.40,95.96,96.05,96.22,96.22,96.14,96.22,96.18,96.18,96.18,96.14,96.27,96.27,96.31,96.22,96.27,96.27,96.27,95.51,95.79,95.83,95.87,95.87,95.87,96.01,96.01,95.43,96.18,96.18,96.18,96.01,96.14,96.18,96.09,96.09,96.16,96.17,96.18,96.22,96.22,96.22,96.27,96.35,96.05,96.29,96.35,96.22,96.18,96.27,96.27,96.22,96.27,96.27,96.22,96.18,93.79,94.36,95.96,95.83,96.09,96.27,95.96,96.31,96.18,96.44,96.44,97.09,97.09,97.26,97.00,96.70,96.74,96.70,96.87,96.66,96.74,97.29,98.22,99.13,99.04,98.96,98.91,98.74,98.87,98.84,99.00,99.31,99.31,,99.57
A-MN478658,98.00,96.87,97.22,97.35,96.92,96.92,97.05,96.61,96.79,96.05,96.14,96.22,96.83,96.83,96.40,96.27,96.44,96.66,97.00,96.44,96.74,96.48,96.61,96.70,96.70,96.79,96.66,96.70,96.70,96.70,96.79,96.74,95.77,96.31,96.40,96.57,96.57,96.48,96.57,96.53,96.53,96.53,96.48,96.61,96.61,96.57,96.57,96.61,96.61,96.61,95.77,96.05,96.09,96.14,96.14,96.14,96.27,96.27,95.69,96.44,96.44,96.44,96.27,96.40,96.44,96.35,96.35,96.42,96.43,96.44,96.48,96.48,96.48,96.53,96.61,96.40,96.63,96.70,96.57,96.53,96.61,96.61,96.57,96.61,96.61,96.57,96.53,94.14,94.62,96.40,96.27,96.27,96.44,96.22,96.48,96.35,96.61,96.61,97.26,97.26,97.52,97.26,96.96,97.00,96.96,97.13,96.92,97.00,97.55,98.59,99.48,99.39,99.22,99.17,99.00,99.13,99.20,99.35,99.57,99.57,99.57,
