,B-LC386074,B-MT732496,B-MT410493,B-MT723915,B-LC169971,B-LC169960,B-LC169949,B-KF716428,B-KF716425,B-PX212177,B-LC514501,B-LC514512,B-PP862071,B-PP862125,B-OP850417,B-LC514523,B-LC086800,B-LC086789,B-LC086745,B-PX212192,B-LC086811,B-KJ919165,B-LC169993,B-LC169982,B-KC442972,B-LC105586,B-MH182464,B-KC442961,B-KU248414,B-KU248403,B-KC443453,B-KC443198,B-KC178750,B-PP862069,B-OP850416,B-PP862059,B-KC443761,B-KC443629,B-KC443321,B-KC178745,B-LC066670,B-LC066659,B-LC066648,B-MG573370,B-MG573369,B-AB848013,B-LC751938,B-LC751908,B-KY616894,B-AB975925,B-AB975954,B-AB975953,B-AB975923,B-OP850423,B-OP850418,B-OP850422,B-OP850421,B-OP850420,B-PX212113,B-LC514479,B-MZ546121,B-LC514490,B-MH704739,B-MF997044,B-LC228335,B-LC228324,B-LC541991,B-KU870416,B-KU870394,B-KU550318,B-KU550316,B-MH520744,B-LC260316,B-LC228313,B-MH704738,B-PX212115,B-MH520742,B-LC325469,B-KX880423,B-KU550320,B-KU550319,B-KU550317,A-KU199279,A-KC443365,A-KC443220,A-KF716431,A-KJ721745,A-MN479978,A-MN479974,A-MN479966,A-MN479965,A-MN479919,A-KJ721749,A-KC834668,A-PX212212,A-KJ919099,A-KC443354,A-HQ657136,A-KC443005,A-KU356583,A-HQ641362,A-KJ721741,A-KC443343,A-KR705199,B-MN480055,B-MW715615,B-MG701196,B-MG701193,A-KJ752159,A-LC260312,A-LC260310,A-KX880434,A-LC086734,A-LC086723,A-KJ639032,A-KJ639021,A-MG701199,A-MG701191,A-MG701195,A-LC469575,A-KU059797,A-KU059786,A-KU059775,A-MG701198,A-MG701182,A-LC105575,A-PX212175,A-LC569412,A-LC228346,A-LC477630,A-LC228379,A-LC228357,A-LC569457,A-LC569440,A-KJ721750,A-OP717989,A-OP717986,A-MG181665,A-MG181896,A-MG181775
A-MN479965,88.45,88.45,88.26,88.26,88.45,88.45,88.45,87.88,87.50,89.39,89.20,89.20,89.02,89.39,89.20,89.20,88.64,88.64,88.64,88.83,88.64,88.64,87.88,87.88,87.31,88.45,88.45,89.39,88.64,88.64,88.64,88.64,89.02,88.26,88.26,88.26,88.64,88.64,88.64,88.45,88.07,88.07,88.07,88.07,88.07,88.07,87.88,87.88,87.88,87.88,88.07,88.07,88.07,88.45,88.45,88.64,88.64,88.64,88.16,88.83,88.45,88.64,88.07,87.88,88.07,88.26,88.26,88.26,88.26,88.07,87.88,88.07,88.26,87.88,88.07,88.16,88.26,88.64,88.45,88.45,88.45,88.45,90.53,98.11,98.30,98.86,99.62,100.00,100.00,100.00,,100.00,100.00,96.40,95.93,95.83,96.02,98.30,96.40,96.78,96.78,96.59,97.35,96.66,88.64,88.07,88.07,88.07,85.42,87.12,87.50,87.50,87.69,87.69,87.69,87.69,88.07,88.07,87.69,87.88,87.88,87.88,87.88,87.88,87.88,86.55,88.35,88.26,88.26,88.26,88.26,88.07,88.26,88.26,88.83,88.64,88.64,88.45,88.64,88.45
A-MN479919,88.45,88.45,88.26,88.26,88.45,88.45,88.45,87.88,87.50,89.39,89.20,89.20,89.02,89.39,89.20,89.20,88.64,88.64,88.64,88.83,88.64,88.64,87.88,87.88,87.31,88.45,88.45,89.39,88.64,88.64,88.64,88.64,89.02,88.26,88.26,88.26,88.64,88.64,88.64,88.45,88.07,88.07,88.07,88.07,88.07,88.07,87.88,87.88,87.88,87.88,88.07,88.07,88.07,88.45,88.45,88.64,88.64,88.64,88.16,88.83,88.45,88.64,88.07,87.88,88.07,88.26,88.26,88.26,88.26,88.07,87.88,88.07,88.26,87.88,88.07,88.16,88.26,88.64,88.45,88.45,88.45,88.45,90.53,98.11,98.30,98.86,99.62,100.00,100.00,100.00,100.00,,100.00,96.40,95.93,95.83,96.02,98.30,96.40,96.78,96.78,96.59,97.35,96.66,88.64,88.07,88.07,88.07,85.42,87.12,87.50,87.50,87.69,87.69,87.69,87.69,88.07,88.07,87.69,87.88,87.88,87.88,87.88,87.88,87.88,86.55,88.35,88.26,88.26,88.26,88.26,88.07,88.26,88.26,88.83,88.64,88.64,88.45,88.64,88.45
A-KJ721749,88.47,88.47,88.28,88.28,88.47,88.47,88.47,87.88,87.50,89.39,89.22,89.22,89.04,89.41,89.22,89.22,88.66,88.66,88.66,88.83,88.66,88.64,87.90,87.90,87.33,88.47,88.47,89.41,88.66,88.66,88.66,88.66,89.04,88.28,88.28,88.28,88.66,88.66,88.66,88.47,88.09,88.09,88.09,88.09,88.09,88.09,87.90,87.90,87.88,87.90,88.09,88.09,88.09,88.47,88.47,88.66,88.66,88.66,88.16,88.85,88.45,88.66,88.09,87.88,88.09,88.28,88.28,88.28,88.28,88.09,87.90,88.09,88.28,87.90,88.09,88.16,88.28,88.66,88.47,88.47,88.47,88.47,90.55,98.11,98.30,98.86,99.62,100.00,100.00,100.00,100.00,100.00,,96.41,95.93,95.83,96.03,98.30,96.41,96.79,96.79,96.60,97.35,96.66,88.64,88.09,88.07,88.07,85.44,87.15,87.52,87.52,87.71,87.71,87.71,87.71,88.07,88.07,87.69,87.90,87.90,87.90,87.90,87.88,87.88,86.58,88.35,88.28,88.28,88.28,88.28,88.09,88.28,88.28,88.85,88.66,88.66,88.47,88.66,88.47
A-KC834668,90.36,90.36,90.17,90.17,90.36,90.36,90.36,89.20,88.83,90.34,90.17,90.17,89.98,90.36,90.17,90.17,89.60,89.60,89.60,89.77,89.60,89.58,89.22,89.22,88.66,89.79,89.41,90.74,89.98,89.98,89.98,89.98,90.36,89.60,89.60,89.60,89.98,89.98,89.98,89.79,89.41,89.41,89.41,89.41,89.41,89.41,89.22,89.22,89.20,89.22,89.41,89.41,89.41,89.79,89.79,89.98,89.98,89.98,89.49,90.17,89.77,89.98,89.41,89.58,89.41,89.22,89.60,89.60,89.60,89.41,89.22,89.41,89.22,89.22,89.41,89.49,89.60,89.98,89.79,89.79,89.79,89.79,90.17,96.03,96.22,96.78,96.03,96.40,96.40,96.40,96.40,96.40,96.41,,99.53,99.43,99.62,96.98,96.60,97.35,97.35,96.60,97.16,97.14,89.77,89.22,89.20,89.20,85.44,87.71,88.09,88.09,88.28,88.28,88.28,88.28,88.64,88.64,88.26,88.47,88.47,88.47,88.47,88.45,88.45,86.77,88.54,88.47,88.47,88.47,88.47,88.28,88.47,88.47,89.04,88.85,88.85,89.04,89.22,89.04
A-PX212212,90.25,90.25,90.06,90.06,90.25,90.25,90.25,89.11,88.73,90.25,90.06,90.06,89.87,90.25,90.06,90.06,89.49,89.49,89.49,89.30,89.49,89.49,89.11,89.11,88.54,89.68,89.30,90.63,89.87,89.87,89.87,89.87,90.25,89.49,89.49,89.49,89.87,89.87,89.87,89.68,89.30,89.30,89.30,89.30,89.30,89.30,89.11,89.11,89.11,89.11,89.30,89.30,89.30,89.68,89.68,89.87,89.87,89.87,89.49,90.06,89.68,89.87,89.30,89.49,89.30,89.11,89.49,89.49,89.49,89.30,89.11,89.30,89.11,89.11,89.30,89.39,89.49,89.49,89.68,89.68,89.68,89.68,89.68,95.55,95.74,96.31,95.55,95.93,95.93,95.93,95.93,95.93,95.93,99.53,,99.72,99.91,96.50,96.12,96.88,96.88,96.12,96.69,96.66,89.68,89.11,89.11,89.11,84.94,87.22,87.59,87.59,87.78,87.78,87.78,87.78,88.16,88.16,87.78,87.97,87.97,87.97,87.97,87.97,87.97,86.65,88.45,88.35,88.35,88.35,88.35,88.16,88.35,88.35,88.92,88.73,88.73,88.92,89.11,88.92
A-KJ919099,90.15,90.15,89.96,89.96,90.15,90.15,90.15,89.02,88.64,90.15,89.96,89.96,89.77,90.15,89.96,89.96,89.39,89.39,89.39,89.20,89.39,89.39,89.02,89.02,88.45,89.58,89.20,90.53,89.77,89.77,89.77,89.77,90.15,89.39,89.39,89.39,89.77,89.77,89.77,89.58,89.20,89.20,89.20,89.20,89.20,89.20,89.02,89.02,89.02,89.02,89.20,89.20,89.20,89.58,89.58,89.77,89.77,89.77,89.30,89.96,89.58,89.77,89.20,89.39,89.20,89.02,89.39,89.39,89.39,89.20,89.02,89.20,89.02,89.02,89.20,89.30,89.39,89.39,89.58,89.58,89.58,89.58,89.58,95.45,95.64,96.21,95.45,95.83,95.83,95.83,95.83,95.83,95.83,99.43,99.72,,99.81,96.40,96.02,96.78,96.78,96.40,96.59,96.66,89.96,89.39,89.39,89.39,85.23,87.12,87.50,87.50,87.69,87.69,87.69,87.69,88.07,88.07,87.69,87.88,87.88,87.88,87.88,87.88,87.88,86.93,88.35,88.26,88.26,88.26,88.26,88.07,88.26,88.26,88.83,88.64,88.64,88.83,89.02,88.83
A-KC443354,90.36,90.36,90.17,90.17,90.36,90.36,90.36,89.20,88.83,90.34,90.17,90.17,89.98,90.36,90.17,90.17,89.60,89.60,89.60,89.39,89.60,89.58,89.22,89.22,88.66,89.79,89.41,90.74,89.98,89.98,89.98,89.98,90.36,89.60,89.60,89.60,89.98,89.98,89.98,89.79,89.41,89.41,89.41,89.41,89.41,89.41,89.22,89.22,89.20,89.22,89.41,89.41,89.41,89.79,89.79,89.98,89.98,89.98,89.49,90.17,89.77,89.98,89.41,89.58,89.41,89.22,89.60,89.60,89.60,89.41,89.22,89.41,89.22,89.22,89.41,89.49,89.60,89.60,89.79,89.79,89.79,89.79,89.79,95.65,95.84,96.40,95.65,96.02,96.02,96.02,96.02,96.02,96.03,99.62,99.91,99.81,,96.60,96.22,96.98,96.98,96.22,96.79,96.66,89.77,89.22,89.20,89.20,85.07,87.33,87.71,87.71,87.90,87.90,87.90,87.90,88.26,88.26,87.88,88.09,88.09,88.09,88.09,88.07,88.07,86.77,88.54,88.47,88.47,88.47,88.47,88.28,88.47,88.47,89.04,88.85,88.85,89.04,89.22,89.04
A-HQ657136,89.04,89.04,88.85,88.85,89.04,89.04,89.04,88.26,87.88,89.77,89.60,89.60,89.41,89.79,89.60,89.60,89.04,89.04,89.04,89.20,89.04,89.02,88.28,88.28,87.71,88.85,88.85,89.79,89.04,89.04,89.04,89.04,89.41,88.66,88.66,88.66,89.04,89.04,89.04,88.85,88.47,88.47,88.47,88.47,88.47,88.47,88.28,88.28,88.26,88.28,88.47,88.47,88.47,89.04,88.85,89.04,89.04,89.04,88.54,89.22,88.83,89.04,88.47,88.26,88.47,88.66,88.66,88.66,88.66,88.47,88.28,88.47,88.66,88.28,88.47,88.54,88.66,89.04,88.85,88.85,88.85,88.85,90.74,97.92,98.11,98.30,97.92,98.30,98.30,98.30,98.30,98.30,98.30,96.98,96.50,96.40,96.60,,97.35,97.73,97.73,97.54,98.30,98.09,88.45,88.28,88.26,88.26,85.82,87.71,88.09,88.09,88.28,88.28,88.28,88.28,88.64,88.64,88.26,88.47,88.47,88.47,88.47,88.45,88.45,86.77,88.54,88.47,88.47,88.47,88.47,88.28,88.47,88.47,89.04,88.85,88.85,89.04,88.85,88.66
A-KC443005,88.85,88.85,88.66,88.66,88.85,88.85,88.85,88.07,87.69,89.20,89.41,89.41,89.60,89.60,89.41,89.41,88.85,88.85,88.85,89.02,89.04,88.83,88.47,88.47,87.52,88.66,88.28,89.60,88.85,88.85,88.85,88.85,89.22,88.47,88.47,88.47,88.85,88.85,88.85,88.66,88.28,88.28,88.28,88.28,88.28,88.28,88.09,88.09,88.07,88.09,88.28,88.28,88.28,88.28,88.28,88.47,88.47,88.47,87.97,88.66,88.26,88.47,88.28,88.07,88.28,88.47,88.47,88.47,88.47,88.28,88.09,88.28,88.47,88.09,88.28,88.35,88.47,88.85,88.66,88.66,88.66,88.66,90.17,96.41,96.60,96.78,96.03,96.40,96.40,96.40,96.40,96.40,96.41,96.60,96.12,96.02,96.22,97.35,,98.11,98.11,97.73,98.30,98.81,88.26,87.71,87.69,87.69,85.07,87.71,88.09,88.09,88.28,88.28,88.28,88.28,88.64,88.64,88.26,88.47,88.47,88.47,88.47,88.45,88.45,87.15,88.54,88.47,88.47,88.47,88.47,88.66,88.47,88.47,89.04,88.85,88.85,89.04,88.85,88.66
A-KU356583,89.22,89.22,89.04,89.04,89.22,89.22,89.22,88.45,88.07,89.58,89.79,89.79,89.60,89.98,89.79,89.79,89.22,89.22,89.22,89.39,89.22,89.20,88.47,88.47,87.90,89.04,88.66,89.98,89.22,89.22,89.22,89.22,89.60,88.85,88.85,88.85,89.22,89.22,89.22,89.04,88.66,88.66,88.66,88.66,88.66,88.66,88.47,88.47,88.45,88.47,88.66,88.66,88.66,88.66,88.66,88.85,88.85,88.85,88.35,89.04,88.64,88.85,88.66,88.45,88.66,88.85,88.85,88.85,88.85,88.66,88.47,88.66,88.47,88.47,88.66,88.73,88.85,89.22,89.04,89.04,89.04,89.04,90.17,96.79,96.98,97.16,96.41,96.78,96.78,96.78,96.78,96.78,96.79,97.35,96.88,96.78,96.98,97.73,98.11,,100.00,98.49,98.68,99.05,88.64,88.09,88.07,88.07,85.07,87.71,88.09,88.09,88.28,88.28,88.28,88.28,88.64,88.64,88.26,88.47,88.47,88.47,88.47,88.45,88.45,86.77,88.73,88.85,88.85,88.85,88.85,88.66,88.85,88.85,89.04,89.22,89.22,89.41,89.60,89.41
A-HQ641362,89.22,89.22,89.04,89.04,89.22,89.22,89.22,88.45,88.07,89.58,89.79,89.79,89.60,89.98,89.79,89.79,89.22,89.22,89.22,89.39,89.22,89.20,88.47,88.47,87.90,89.04,88.66,89.98,89.22,89.22,89.22,89.22,89.60,88.85,88.85,88.85,89.22,89.22,89.22,89.04,88.66,88.66,88.66,88.66,88.66,88.66,88.47,88.47,88.45,88.47,88.66,88.66,88.66,88.66,88.66,88.85,88.85,88.85,88.35,89.04,88.64,88.85,88.66,88.45,88.66,88.85,88.85,88.85,88.85,88.66,88.47,88.66,88.47,88.47,88.66,88.73,88.85,89.22,89.04,89.04,89.04,89.04,90.17,96.79,96.98,97.16,96.41,96.78,96.78,96.78,96.78,96.78,96.79,97.35,96.88,96.78,96.98,97.73,98.11,100.00,,98.49,98.68,99.05,88.64,88.09,88.07,88.07,85.07,87.71,88.09,88.09,88.28,88.28,88.28,88.28,88.64,88.64,88.26,88.47,88.47,88.47,88.47,88.45,88.45,86.77,88.73,88.85,88.85,88.85,88.85,88.66,88.85,88.85,89.04,89.22,89.22,89.41,89.60,89.41
A-KJ721741,89.04,89.04,88.85,88.85,89.04,89.04,89.04,88.26,87.88,89.39,89.60,89.60,89.41,89.79,89.60,89.60,89.04,89.04,89.04,89.20,89.04,89.02,88.28,88.28,87.71,88.85,88.47,89.79,89.04,89.04,89.04,89.04,89.41,88.66,88.66,88.66,89.04,89.04,89.04,88.85,88.47,88.47,88.47,88.47,88.47,88.47,88.28,88.28,88.26,88.28,88.47,88.47,88.47,88.47,88.47,88.66,88.66,88.66,88.16,88.85,88.45,88.66,88.47,88.26,88.47,88.66,88.66,88.66,88.66,88.47,88.28,88.47,88.66,88.28,88.47,88.54,88.66,89.04,88.85,88.85,88.85,88.85,89.60,96.60,96.79,96.97,96.22,96.59,96.59,96.59,96.59,96.59,96.60,96.60,96.12,96.40,96.22,97.54,97.73,98.49,98.49,,98.30,99.28,88.83,88.28,88.26,88.26,85.26,87.33,87.71,87.71,87.90,87.90,87.90,87.90,88.26,88.26,88.26,88.09,88.09,88.09,88.09,88.07,88.07,86.96,88.54,88.66,88.66,88.66,88.66,88.47,88.66,88.66,88.85,89.04,89.04,89.22,89.04,88.85
A-KC443343,89.04,89.04,88.85,88.85,89.04,89.04,89.04,88.64,88.26,89.77,89.98,89.98,89.79,90.17,89.98,89.98,89.41,89.41,89.41,89.58,89.41,89.39,88.66,88.66,88.09,89.60,88.85,90.17,89.41,89.41,89.41,89.41,89.79,89.04,89.04,89.04,89.41,89.41,89.41,89.22,88.85,88.85,88.85,88.85,88.85,88.85,88.66,88.66,88.64,88.66,88.85,88.85,88.85,88.85,88.85,89.04,89.04,89.04,88.54,89.22,88.83,89.04,88.85,88.64,88.85,89.04,89.04,89.04,89.04,88.85,88.66,88.47,89.04,88.66,88.85,88.92,89.04,89.41,89.22,89.22,89.22,89.22,90.17,96.98,97.16,97.73,96.98,97.35,97.35,97.35,97.35,97.35,97.35,97.16,96.69,96.59,96.79,98.30,98.30,98.68,98.68,98.30,,99.28,88.45,87.90,87.88,87.88,85.44,87.90,88.28,88.28,88.47,88.47,88.47,88.47,88.83,88.83,88.45,88.66,88.66,88.66,88.66,88.64,88.64,86.58,88.73,88.66,88.66,88.66,88.66,88.47,88.66,88.66,89.22,89.04,89.04,89.22,89.04,88.85
A-KR705199,89.02,89.02,89.02,89.02,89.02,89.02,89.02,88.31,88.07,89.74,89.98,89.98,89.74,90.21,89.98,89.98,89.26,89.26,89.26,89.50,89.26,89.26,88.54,88.54,88.07,88.78,88.07,89.74,89.02,89.02,89.02,89.02,89.50,88.78,88.78,88.78,89.02,89.02,89.02,88.78,88.78,88.78,88.78,88.78,88.78,88.54,88.31,88.31,88.31,88.31,88.54,88.54,88.54,88.31,88.31,88.54,88.54,88.54,88.07,88.78,88.54,88.54,88.54,88.31,88.54,88.78,88.78,88.78,88.78,88.54,88.54,88.31,88.78,88.31,88.54,88.78,88.78,89.26,89.02,89.02,89.02,89.02,91.89,96.66,96.90,97.37,96.18,96.66,96.66,96.66,96.66,96.66,96.66,97.14,96.66,96.66,96.66,98.09,98.81,99.05,99.05,99.28,99.28,,87.83,87.35,87.35,87.35,84.73,86.87,87.35,87.35,87.59,87.59,87.83,87.83,88.07,88.07,87.83,87.83,87.83,87.83,87.83,87.83,87.83,86.16,87.83,87.83,87.83,87.83,87.83,87.59,87.83,87.83,88.31,88.31,88.31,88.54,88.31,88.07
B-MN480055,92.80,92.80,92.23,92.61,92.80,92.80,92.80,92.80,92.42,92.99,93.18,93.18,92.99,92.99,93.18,93.18,92.61,92.61,92.61,92.42,92.61,92.61,91.86,91.86,92.23,92.42,92.05,93.37,93.37,93.37,92.23,92.23,92.99,92.99,92.99,92.99,92.99,92.99,92.99,93.18,92.42,92.42,92.42,92.42,92.42,92.05,91.86,91.86,91.86,91.86,92.05,92.05,92.05,92.42,92.42,92.61,92.61,92.61,92.14,92.42,92.42,92.61,92.42,92.23,92.05,91.86,92.05,92.61,92.61,92.42,92.23,92.80,92.23,92.23,92.42,92.52,92.80,92.61,92.80,92.80,92.80,92.80,84.47,89.20,89.39,89.02,88.64,88.64,88.64,88.64,88.64,88.64,88.64,89.77,89.68,89.96,89.77,88.45,88.26,88.64,88.64,88.83,88.45,87.83,,97.73,98.11,98.11,86.55,87.31,87.69,87.69,87.88,87.88,87.88,87.88,88.26,88.26,87.88,88.07,88.07,88.07,88.07,88.07,88.07,87.88,89.49,89.77,89.77,89.77,89.77,89.96,89.77,89.77,90.34,90.15,90.15,89.96,90.34,90.15
B-MW715615,91.68,91.68,91.12,91.49,91.68,91.68,91.68,92.61,92.23,91.67,91.87,91.87,91.68,92.06,91.87,91.87,91.30,91.30,91.30,91.10,91.30,91.29,90.93,90.93,91.87,91.12,90.74,92.06,92.06,92.06,90.93,90.93,92.06,91.68,91.68,91.68,91.68,91.68,91.68,91.87,91.12,91.12,91.12,91.12,91.12,91.12,90.93,90.93,90.91,90.93,91.12,91.12,91.12,91.30,91.12,91.30,91.30,91.30,90.81,91.12,91.10,91.30,91.49,91.29,91.12,90.93,91.12,91.68,91.68,91.49,91.30,91.87,90.93,90.93,91.12,91.38,91.49,91.30,91.49,91.49,91.49,91.49,83.55,88.66,88.85,88.45,88.09,88.07,88.07,88.07,88.07,88.07,88.09,89.22,89.11,89.39,89.22,88.28,87.71,88.09,88.09,88.28,87.90,87.35,97.73,,99.62,99.62,87.71,86.96,87.71,87.71,87.52,87.52,87.52,87.52,87.88,87.88,87.50,87.71,87.71,87.71,87.71,87.69,87.69,87.90,88.92,89.22,89.22,89.22,89.22,89.41,89.22,89.22,89.79,89.60,89.60,89.41,89.79,89.60
B-MG701196,92.05,92.05,91.48,91.86,92.05,92.05,92.05,92.61,92.23,92.05,92.23,92.23,92.05,92.05,92.23,92.23,91.67,91.67,91.67,91.48,91.67,91.67,90.91,90.91,91.86,91.48,91.10,92.42,92.42,92.42,91.29,91.29,92.05,92.05,92.05,92.05,92.05,92.05,92.05,92.23,91.48,91.48,91.48,91.48,91.48,91.48,91.29,91.29,91.29,91.29,91.48,91.48,91.48,91.67,91.48,91.67,91.67,91.67,91.19,91.48,91.48,91.67,91.86,91.67,91.48,91.29,91.48,92.05,92.05,91.86,91.67,92.23,91.29,91.29,91.48,91.76,91.86,91.67,91.86,91.86,91.86,91.86,83.90,88.64,88.83,88.45,88.07,88.07,88.07,88.07,88.07,88.07,88.07,89.20,89.11,89.39,89.20,88.26,87.69,88.07,88.07,88.26,87.88,87.35,98.11,99.62,,100.00,87.69,86.93,87.69,87.69,87.50,87.50,87.50,87.50,87.88,87.88,87.50,87.69,87.69,87.69,87.69,87.69,87.69,87.88,88.92,89.20,89.20,89.20,89.20,89.39,89.20,89.20,89.77,89.58,89.58,89.39,89.77,89.58
B-MG701193,92.05,92.05,91.48,91.86,92.05,92.05,92.05,92.61,92.23,92.05,92.23,92.23,92.05,92.05,92.23,92.23,91.67,91.67,91.67,91.48,91.67,91.67,90.91,90.91,91.86,91.48,91.10,92.42,92.42,92.42,91.29,91.29,92.05,92.05,92.05,92.05,92.05,92.05,92.05,92.23,91.48,91.48,91.48,91.48,91.48,91.48,91.29,91.29,91.29,91.29,91.48,91.48,91.48,91.67,91.48,91.67,91.67,91.67,91.19,91.48,91.48,91.67,91.86,91.67,91.48,91.29,91.48,92.05,92.05,91.86,91.67,92.23,91.29,91.29,91.48,91.76,91.86,91.67,91.86,91.86,91.86,91.86,83.90,88.64,88.83,88.45,88.07,88.07,88.07,88.07,88.07,88.07,88.07,89.20,89.11,89.39,89.20,88.26,87.69,88.07,88.07,88.26,87.88,87.35,98.11,99.62,100.00,,87.69,86.93,87.69,87.69,87.50,87.50,87.50,87.50,87.88,87.88,87.50,87.69,87.69,87.69,87.69,87.69,87.69,87.88,88.92,89.20,89.20,89.20,89.20,89.39,89.20,89.20,89.77,89.58,89.58,89.39,89.77,89.58
A-KJ752159,87.90,87.90,87.71,88.09,88.09,88.09,88.09,86.93,86.55,87.69,87.90,87.90,87.71,87.71,87.90,87.90,88.09,88.09,88.09,88.26,88.09,88.07,86.77,86.77,87.15,86.96,86.20,86.96,86.96,86.96,86.96,86.96,86.58,86.96,86.96,86.96,86.96,86.96,86.96,87.15,86.77,86.77,86.77,86.77,86.77,86.77,86.58,86.58,86.55,86.58,86.77,86.77,86.77,86.20,86.39,86.20,86.20,86.20,85.70,86.01,86.36,86.20,86.77,86.93,86.39,86.20,86.58,86.96,86.96,86.77,86.58,86.20,86.96,86.39,86.58,86.46,86.77,86.96,86.77,86.77,86.77,86.77,84.12,84.69,84.88,84.85,85.44,85.42,85.42,85.42,85.42,85.42,85.44,85.44,84.94,85.23,85.07,85.82,85.07,85.07,85.07,85.26,85.44,84.73,86.55,87.71,87.69,87.69,,88.66,88.47,88.66,89.22,89.22,88.85,88.85,89.20,89.20,88.83,89.04,89.04,89.04,89.04,89.02,89.02,89.60,88.92,88.47,88.47,88.47,88.47,88.28,88.47,88.47,89.04,88.85,88.85,89.04,88.66,88.47
A-LC260312,86.96,86.96,86.01,86.39,86.58,86.58,86.58,87.88,87.50,87.69,87.90,87.90,87.71,87.71,87.90,87.90,88.09,88.09,88.09,88.26,88.09,88.07,87.15,87.15,87.52,87.15,87.33,87.33,87.33,87.33,87.71,87.71,87.33,86.96,86.96,86.96,86.96,86.96,86.96,87.15,87.15,87.15,87.15,87.15,87.15,86.77,86.58,86.58,86.55,86.58,86.77,86.77,86.77,86.96,86.77,86.96,86.96,86.96,86.84,87.52,87.12,87.33,87.52,87.69,87.15,86.96,87.33,87.71,87.71,87.52,87.33,87.15,87.71,87.15,87.33,87.22,87.33,87.71,87.52,87.52,87.52,87.52,85.07,87.15,87.33,87.50,86.77,87.12,87.12,87.12,87.12,87.12,87.15,87.71,87.22,87.12,87.33,87.71,87.71,87.71,87.71,87.33,87.90,86.87,87.31,86.96,86.93,86.93,88.66,,98.68,98.87,99.05,99.05,99.05,99.05,99.05,99.05,99.05,99.24,99.24,99.24,99.24,99.24,99.24,88.47,90.63,90.55,90.55,90.55,90.55,90.36,90.55,90.55,91.12,90.93,90.93,90.74,90.55,90.74
A-LC260310,86.96,86.96,86.01,86.39,86.58,86.58,86.58,88.07,87.69,87.69,87.90,87.90,87.71,87.71,87.90,87.90,87.90,87.90,87.90,88.07,87.90,87.88,86.96,86.96,87.52,87.15,87.15,87.33,87.33,87.33,87.71,87.71,87.33,86.96,86.96,86.96,86.96,86.96,86.96,87.15,87.15,87.15,87.15,87.15,87.15,86.77,86.58,86.58,86.55,86.58,86.77,86.77,86.77,86.96,86.77,86.96,86.96,86.96,86.84,87.52,87.12,87.33,87.52,87.69,87.52,87.33,87.33,87.71,87.71,87.52,87.33,87.52,87.71,86.96,87.15,87.22,87.33,87.71,87.52,87.52,87.52,87.52,85.26,87.52,87.71,87.88,87.15,87.50,87.50,87.50,87.50,87.50,87.52,88.09,87.59,87.50,87.71,88.09,88.09,88.09,88.09,87.71,88.28,87.35,87.69,87.71,87.69,87.69,88.47,98.68,,99.81,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.43,99.43,99.43,99.43,99.43,99.43,88.66,91.38,91.30,91.30,91.30,91.30,91.12,91.30,91.30,91.49,91.30,91.30,91.12,90.93,91.12
A-KX880434,86.96,86.96,86.01,86.39,86.58,86.58,86.58,88.07,87.69,87.69,87.90,87.90,87.71,87.71,87.90,87.90,88.09,88.09,88.09,88.26,88.09,88.07,86.96,86.96,87.52,87.15,87.15,87.33,87.33,87.33,87.71,87.71,87.33,86.96,86.96,86.96,86.96,86.96,86.96,87.15,87.15,87.15,87.15,87.15,87.15,86.77,86.58,86.58,86.55,86.58,86.77,86.77,86.77,86.96,86.77,86.96,86.96,86.96,86.84,87.52,87.12,87.33,87.52,87.69,87.52,87.33,87.33,87.71,87.71,87.52,87.33,87.52,87.71,86.96,87.15,87.22,87.33,87.71,87.52,87.52,87.52,87.52,85.44,87.52,87.71,87.88,87.15,87.50,87.50,87.50,87.50,87.50,87.52,88.09,87.59,87.50,87.71,88.09,88.09,88.09,88.09,87.71,88.28,87.35,87.69,87.71,87.69,87.69,88.66,98.87,99.81,,99.43,99.43,99.43,99.43,99.43,99.43,99.43,99.62,99.62,99.62,99.62,99.62,99.62,88.85,91.38,91.30,91.30,91.30,91.30,91.12,91.30,91.30,91.49,91.30,91.30,91.12,90.93,91.12
A-LC086734,87.15,87.15,86.20,86.58,86.77,86.77,86.77,87.88,87.50,87.88,88.09,88.09,87.90,87.90,88.09,88.09,88.28,88.28,88.28,88.45,88.28,88.26,87.15,87.15,87.71,87.33,87.71,87.52,87.52,87.52,88.28,88.28,87.52,87.52,87.52,87.52,87.52,87.52,87.52,87.71,87.71,87.71,87.71,87.71,87.71,87.33,87.15,87.15,87.12,87.15,87.33,87.33,87.33,87.52,87.33,87.52,87.52,87.52,87.41,88.09,87.69,87.90,88.09,88.26,87.71,87.52,87.90,88.28,88.28,88.09,87.90,87.71,88.28,87.52,87.71,87.78,87.90,88.28,88.09,88.09,88.09,88.09,85.63,87.71,87.90,88.07,87.33,87.69,87.69,87.69,87.69,87.69,87.71,88.28,87.78,87.69,87.90,88.28,88.28,88.28,88.28,87.90,88.47,87.59,87.88,87.52,87.50,87.50,89.22,99.05,99.24,99.43,,100.00,99.62,99.62,99.62,99.62,99.62,99.81,99.81,99.81,99.81,99.81,99.81,88.66,91.19,91.12,91.12,91.12,91.12,90.93,91.12,91.12,91.68,91.49,91.49,91.30,91.12,91.30
